"","name","street","city"
"87","Capriccio Grill","149 Union Ave","Memphis, TN, 38103"
"88","Golden India","2097 Madison Ave","Memphis, TN, 38104"
"89","Bayou Bar & Grill","2094 Madison Ave","Memphis, TN, 38104"
"90","Captain D's","1665 Sycamore View Rd","Memphis, TN, 38134"
"91","Brooklyn Bridge Italian Restaurant","1779 Kirby Parkway","Memphis, TN, 38138"
"92","Wet Willie's- Memphis","209 Beale St","Memphis, TN, 38103"
"93","McDonald's","6048 Stage Rd","Memphis, TN, 38134"
"94","KFC","2055 Frayser Blvd","Memphis, TN, 38127"
"95","Captain D's","3057 Covington Pike","Memphis, TN, 38128"
"96","Pop's Deli","6749 E Shelby Dr","Memphis, TN, 38141"
"97","Alfred's On Beale","197 Beale Street","Memphis, TN, 38103"
"98","McDonald's","3363 Austin Peay Hwy","Memphis, TN, 38128"
"99","Krystal","3330 Austin Peay Hwy","Memphis, TN, 38128"
"100","KFC","3255 Austin Peay Hwy","Memphis, TN, 38128"
"101","Abyssinia Ethiopian","2600 Poplar Ave","Memphis, TN, 38112"
"102","Broadway Pizza","2581 Broad Avenue","Memphis, TN, 38112"
"103","Lucchesi's Ravioli and Pasta Company","540 S Mendenhall Rd","Memphis, TN, 38117"
"104","Napa Cafe","5101 Sanderlin Avenue","Memphis, TN, 38137"
"105","McDonald's","905 Union Ave","Memphis, TN, 38103"
"106","Tycoon Asian Restaurant","3307 Kirby Parkway","Memphis, TN, 38115"
"107","Happy Mexican","385 South Second Street","Memphis, TN, 38103"
"108","The Half Shell","688 S Mendenhall Rd","Memphis, TN, 38117"
"109","R P Tracks","3547 Walker Avenue","Memphis, TN, 38111"
"110","Felicia Suzannes","80 Monroe Avenue","Memphis, TN, 38103"
"111","Itta Bena","145 Beale Street","Memphis, TN, 38103"
"112","KFC","1699 Union Ave","Memphis, TN, 38104"
"113","Captain D's","179 E EH Crump Blvd","Memphis, TN, 38106"
"114","KFC","2452 Jackson Ave","Memphis, TN, 38108"
"115","Flying Saucer Draught Emporium","1400 North Germantown Parkway","Memphis, TN, 38016"
"116","Wendy's","2221 Frayser Blvd","Memphis, TN, 38127"
"117","Foozi","5100 Poplar Ave","Memphis, TN, 38157"
"118","Perkins Restaurant & Bakery","3455 Poplar Avenue","Memphis, TN, 38111"
