"","name","street","city"
"384","Starbucks","6019 Walnut Grove Road","Memphis, TN, 38120"
"385","Prive","6980 Winchester Road","Memphis, TN, 38115"
"386","Howard's Donuts","4348 Summer Avenue","Memphis, TN, 38122"
"387","Best Wings of Memphis","3995 Elvis Presley Boulevard","Memphis, TN, 38116"
"388","Tops Bar-B-Q","6130 Macon Road","Memphis, TN, 38134"
"389","Onix","412 South Main Street","Memphis, TN, 38103"
"390","Soi Number 9","920 Madison Avenue","Memphis, TN, 38103"
"391","Great Wall Restaurant","2838 Hickory Hill Rd","Memphis, TN, 38115"
"392","La Michoacana","6635 Winchester Road","Memphis, TN, 38115"
"393","J R's Fish & Chicken","3087 S Perkins Rd","Memphis, TN, 38118"
"394","Hard Rock Cafe","126 Beale St","Memphis, TN, 38103"
"395","McDonald's","1610 Sycamore View Road","Memphis, TN, 38134"
"396","Blues City Crab, INC","1571 Sycamore View Rd","Memphis, TN, 38134"
"397","Bone's Wings","698 Waring Rd","Memphis, TN, 38122"
"398","Crab Island","2105 Union Ave","Memphis, TN, 38104"
"399","Dino's Grill","645 North McLean Boulevard","Memphis, TN, 38107"
"400","Wellingtons Fine Bar-B-Que","4909 East Shelby Drive","Memphis, TN, 38118"
"401","DWJ Korean Restaurant","3750 Hacks Cross Road","Memphis, TN, 38125"
"402","American Deli","3243 Jackson Avenue","Memphis, TN, 38122"
"403","McDonald's","3805 Hacks Cross Road","Memphis, TN, 38125"
"404","McDonald's","8062 U.S. 64","Memphis, TN, 38133"
"405","SHARKS Fish & Chicken","3659 Hickory Hill Road","Memphis, TN, 38115"
"406","Bob's Sports Bar & Grill","2244 Whitten Road","Memphis, TN, 38133"
"407","Lamplighter Lounge","1702 Madison Ave","Memphis, TN, 38104"
"408","Lennys Grill and Subs","700 Mt Moriah Rd","Memphis, TN, 38117"
"409","Fratelli's","750 Cherry Road","Memphis, TN, 38117"
"410","Nagasaki Inn","3951 Summer Avenue","Memphis, TN, 38122"
"411","Tekila Mexican Bar & Grill","1335 North Germantown Parkway","Memphis, TN, 38016"
"412","Flames Mediterranean & Grill","546 S Highland St","Memphis, TN, 38111"
"413","The Casual Pint Highland Row","395 South Highland Street","Memphis, TN, 38111"
"414","Burger King","8535 US-64","Memphis, TN, 38133"
"415","Daylight Donuts","5735 Raleigh Lagrange Road","Memphis, TN, 38134"
"416","Tops Bar-B-Q","5144 Poplar Avenue","Memphis, TN, 38117"
"417","Poke Bros","6515 Poplar Avenue","Memphis, TN, 38119"
"418","Cordova Catfish","1740 North Germantown Parkway","Memphis, TN, 38016"
"419","Starbucks","1975 Whitten Road","Memphis, TN, 38133"
"420","Pancho's Mexican Restaurant","717 North White Station Road","Memphis, TN, 38117"
"421","Restaurante Vigil","1161 Homer Street","Memphis, TN, 38122"
"422","Sabor Caribe","662 Madison Ave","Memphis, TN, 38103"
"423","King Jerry Lawler's Hall of Fame Bar & Grille","159 Beale Street","Memphis, TN, 38103"
"424","Ricki's Cookie Corner","5068 Park Avenue","Memphis, TN, 38117"
"425","Mapco","1691 Poplar Avenue","Memphis, TN, 38104"
"426","Nosh-a-Rye Kosher Deli & Catering","36 Bazeberry Road","Memphis, TN, 38018"
"427","Tyga Bites","385 S 2nd St","Memphis, TN, 38103"
"428","Church's Chicken","3264 Summer Ave","Memphis, TN, 38112"
"429","Hooters","7535 Winchester Rd","Memphis, TN, 38125"
"430","China Wok","3850 Austin Peay Highway","Memphis, TN, 38128"
"431","Muddy's Bake Shop","585 Cooper Street","Memphis, TN, 38104"
"432","Belmont Grill","4970 Poplar Avenue","Memphis, TN, 38117"
"433","Smoky City BBQ","1023 Jackson Avenue","Memphis, TN, 38107"
"434","Big League Sports Bar & Grill","3896 Lamar Avenue","Memphis, TN, 38118"
"435","Big Bill's Bar-B-Que","2857 Kirby Road","Memphis, TN, 38119"
"436","Next Door American Eatery - Crosstown","1350 Concourse Ave","Memphis, TN, 38104"
"437","Yum's Chinese Carry Out","2451 Jackson Avenue","Memphis, TN, 38112"
"438","Tops Bar-B-Q","2748 Lamar Avenue","Memphis, TN, 38114"
"439","Saucy Chicken","1350 Concourse Avenue","Memphis, TN, 38104"
"440","Harold's Fish & Chicken","1259 Winchester Road","Memphis, TN, 38116"
"441","Farm Burger","1350 Concourse Ave Ste 175","Memphis, TN, 38104"
"442","Hook Fish & Chicken","4340 Elvis Presley Blvd","Memphis, TN, 38116"
"443","Trap Fusion","4637 Boeingshire Dr","Memphis, TN, 38116"
"444","The Atomic Tiki","1545 Overton Park Ave","Memphis, TN, 38112"
"445","Runway Grille","3183 Winchester Rd","Memphis, TN, 38118"
"446","Fat Larrys","7537 U.S. 70","Memphis, TN, 38133"
"447","Wendy's","2760 N Germantown Pkwy Ste 258","Memphis, TN, 38133"
"448","Newby's Restaurant","539 South Highland Street","Memphis, TN, 38111"
"449","The Gray Canary","301 South Front Street","Memphis, TN, 38103"
"450","Mouthful","280 Tillman Street","Memphis, TN, 38112"
"451","El Toro Loco","2617 Poplar Ave","Memphis, TN, 38112"
"452","Dixie Queen","2391 Airways Blvd","Memphis, TN, 38114"
"453","Smackers","1525 Airways Boulevard","Memphis, TN, 38114"
"454","Supreme Hot Wings","1674 Whitten Road","Memphis, TN, 38134"
"455","Wendy's","3990 S 3rd St","Memphis, TN, 38109"
"456","MemPopS","1243 Ridgeway Road","Memphis, TN, 38119"
"457","MEMPops","1350 Concourse Avenue","Memphis, TN, 38104"
"458","RA Sushi Memphis","912 Ridge Lake Blvd","Memphis, TN, 38120"
"459","The Grille","3711 Lamar Ave","Memphis, TN, 38119"
"460","Soulsville Kitchen","745 E McLemore Ave","Memphis, TN, 38106"
"461","Ching's Hot Wings","1264 Getwell Road","Memphis, TN, 38111"
"462","Corky's BBQ","5259 Poplar Ave","Memphis, TN, 38119"
"463","Luna Bar and Restaurant","179 Madison Avenue","Memphis, TN, 38103"
"464","Burger King","4430 Summer Ave","Memphis, TN, 38122"
"465","Five Spot","84 GE Patterson Avenue","Memphis, TN, 38103"
"466","Hibachi express Marino","6031 Knight Arnold Road","Memphis, TN, 38115"
"467","Popeyes","3660 Austin Peay Hwy","Memphis, TN, 38128"
"468","Mot & Ed's Southern Eatery","1354 Madison Avenue","Memphis, TN, 38104"
"469","Mediterranean Pita Sandwich & Grill","4514 Summer Avenue","Memphis, TN, 38122"
"470","Sakura Japanese Restaurant","4840 Poplar Avenue","Memphis, TN, 38117"
"471","EP's Bar and Grill","3600 Elvis Presley Boulevard","Memphis, TN, 38116"
"472","China Master","4465 Poplar Avenue","Memphis, TN, 38117"
"473","Donut Man Bakery","3224 Austin Peay Highway","Memphis, TN, 38128"
"474","Catherine and Mary's","272 South Main Street","Memphis, TN, 38103"
"475","Jerusalem Market & Restaurant","4794 Summer Avenue","Memphis, TN, 38122"
"476","Wendy's","3717 Summer Ave","Memphis, TN, 38122"
"477","American Joy","902 S Highland St","Memphis, TN, 38111"
"478","Barbarossa Brothers","7 N Main St","Memphis, TN, 38103"
"479","Qahwa Coffee Bar","109 North Main Street","Memphis, TN, 38103"
"480","Sharks Fish and Chicken","1352 East Shelby Drive","Memphis, TN, 38116"
"481","Fino's Italian Deli and Catering","1853 Madison Ave","Memphis, TN, 38104"
"482","Sleep Out Louies","150 Peabody Place","Memphis, TN, 38103"
"483","Great China Food Market","5137 Summer Avenue","Memphis, TN, 38122"
"484","Phase 1 Salads by Design","3713 South Hickory Ridge Mall","Memphis, TN, 38115"
"485","Bluefin Japanese Restaurant","135 S Main St","Memphis, TN, 38103"
"486","Riko's Kickin Chickin","1329 Madison Ave","Memphis, TN, 38104"
"487","The Wing Guru","5699 Mount Moriah Road","Memphis, TN, 38115"
"488","Carolina Watershed Memphis","141 East Carolina Avenue","Memphis, TN, 38126"
"489","El Taco Loco","5393 Knight Arnold Road","Memphis, TN, 38118"
"490","Yo Mama","2545 Jackson Avenue","Memphis, TN, 38108"
"491","Bangkok Alley","715 West Brookhaven Circle","Memphis, TN, 38117"
"492","City Market","836 S Cooper St","Memphis, TN, 38104"
"493","Tops Bar-B-Q","4183 Summer Avenue","Memphis, TN, 38122"
"494","Yum Yum's Gourmet Popcorn","7041 E Shelby Dr #115","Memphis, TN, 38125"
"495","Saltwater Crab","2059 Madison Ave","Memphis, TN, 38104"
"496","La Familia Restaurant & Taqueria","2871 South Perkins Road","Memphis, TN, 38118"
"497","Church's Chicken","2275 Elvis Presley Blvd","Memphis, TN, 38106"
"498","Tops Bbq","3353 Summer Avenue","Memphis, TN, 38122"
"499","Piccadilly Cafeteria","3968 Elvis Presley Boulevard","Memphis, TN, 38116"
"500","Yang's Deli","4985 Summer Avenue","Memphis, TN, 38122"
